"year_month","NETRAD_q25","N_ESI","N_radiation","Site_ID"
"2015-06",199.201879166667,13,13,"US-A32"
"2015-07",185.703544791667,23,23,"US-A32"
"2015-08",150.027863541667,14,14,"US-A32"
"2015-09",110.503120833333,25,25,"US-A32"
"2016-05",125.798428645833,10,10,"US-A32"
"2016-06",186.181489361702,25,25,"US-A32"
"2016-07",186.502627083333,21,21,"US-A32"
"2016-08",133.469743816489,22,22,"US-A32"
"2016-09",128.444164583333,25,25,"US-A32"
"2017-05",196.9616625,21,21,"US-A32"
"2017-06",180.177990625,11,11,"US-A32"
"2018-05",113.388179479167,11,11,"US-CF3"
"2018-06",139.361241567708,22,22,"US-CF3"
"2018-07",156.696957604167,27,27,"US-CF3"
"2018-08",102.874491770833,31,31,"US-CF3"
"2018-09",65.6340226875,30,30,"US-CF3"
"2019-05",128.119602364583,31,31,"US-CF3"
"2019-06",158.545980984375,26,26,"US-CF3"
"2019-07",121.720169291667,31,31,"US-CF3"
"2019-08",70.5033658823529,1,1,"US-CF3"
"2019-09",0,1,1,"US-CF3"
"2020-05",113.740687220313,30,30,"US-CF3"
"2020-06",181.882887242424,1,1,"US-CF3"
"2020-07",156.873636875,31,31,"US-CF3"
"2020-08",103.300644791667,31,31,"US-CF3"
"2020-09",33.46525534375,30,30,"US-CF3"
