"Model","Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction"
"CMCC-ESM2","Mid","ssp245","VPD_below",2.69299946773375,0,0.00352593574078094,0
"CMCC-ESM2","Mid","ssp245","VPD_above",22.9355472580099,12,0.0300061424893755,0.0156862745098039
"CMCC-ESM2","Mid","ssp245","VPD_outside",25.6285467257437,14,0.0335320782301565,0.0183006535947712
"CMCC-ESM2","Mid","ssp245","SM_below",134.653454407689,117,0.176157026839938,0.152941176470588
"CMCC-ESM2","Mid","ssp245","SM_above",41.7606343470552,24,0.0546421326425982,0.0313725490196078
"CMCC-ESM2","Mid","ssp245","SM_outside",176.414088754744,147,0.230799159482536,0.192156862745098
"CMCC-ESM2","Mid","ssp245","Either_outside",189.013355256412,160,0.247278688726071,0.209150326797386
"CanESM5","Mid","ssp245","VPD_below",10.7482363600559,0,0.0140720168236152,0
"CanESM5","Mid","ssp245","VPD_above",39.3465221619416,24,0.0515201017732055,0.0313725490196078
"CanESM5","Mid","ssp245","VPD_outside",50.0947585219976,27,0.0655921185968207,0.0352941176470588
"CanESM5","Mid","ssp245","SM_below",127.101558495017,82,0.166522640924817,0.10718954248366
"CanESM5","Mid","ssp245","SM_above",66.2669651305565,47,0.0867400379400469,0.061437908496732
"CanESM5","Mid","ssp245","SM_outside",193.368523625573,149,0.253262678864864,0.194771241830065
"CanESM5","Mid","ssp245","Either_outside",223.404236360392,190,0.292547604065666,0.248366013071895
"CanESM5-1","Mid","ssp245","VPD_below",8.79304945443603,0,0.0115299396538497,0
"CanESM5-1","Mid","ssp245","VPD_above",36.5510775667647,21,0.0478826897107478,0.0274509803921569
"CanESM5-1","Mid","ssp245","VPD_outside",45.3441270212007,25,0.0594126293645976,0.0326797385620915
"CanESM5-1","Mid","ssp245","SM_below",137.27837300534,113,0.180025689415353,0.147712418300654
"CanESM5-1","Mid","ssp245","SM_above",68.9942455006579,53,0.0904243725810373,0.069281045751634
"CanESM5-1","Mid","ssp245","SM_outside",206.272618505998,176,0.27045006199639,0.230065359477124
"CanESM5-1","Mid","ssp245","Either_outside",230.507214915011,202,0.302158205068485,0.264052287581699
"EC-Earth3","Mid","ssp245","VPD_below",1.99756407374944,0,0.00261232037248416,0
"EC-Earth3","Mid","ssp245","VPD_above",13.6123854560412,6,0.0178018912837033,0.00784313725490196
"EC-Earth3","Mid","ssp245","VPD_outside",15.6099495297906,7,0.0204142116561875,0.00915032679738562
"EC-Earth3","Mid","ssp245","SM_below",214.919698111914,204,0.281076679243641,0.266666666666667
"EC-Earth3","Mid","ssp245","SM_above",91.7797682196843,74,0.120062023574386,0.0967320261437909
"EC-Earth3","Mid","ssp245","SM_outside",306.699466331599,291,0.401138702818027,0.380392156862745
"EC-Earth3","Mid","ssp245","Either_outside",308.869359440948,293,0.403975972646084,0.383006535947712
"INM-CM4-8","Mid","ssp245","VPD_below",37.5174486594925,0,0.0490713324639921,0
"INM-CM4-8","Mid","ssp245","VPD_above",58.6421480997305,46,0.0767052763490441,0.0601307189542484
"INM-CM4-8","Mid","ssp245","VPD_outside",96.159596759223,55,0.125776608813036,0.0718954248366013
"INM-CM4-8","Mid","ssp245","SM_below",175.353093981802,110,0.229311387391884,0.143790849673203
"INM-CM4-8","Mid","ssp245","SM_above",73.8070696749269,68,0.0965166905606643,0.0888888888888889
"INM-CM4-8","Mid","ssp245","SM_outside",249.160163656729,173,0.325828077952548,0.226143790849673
"INM-CM4-8","Mid","ssp245","Either_outside",302.713709415937,289,0.395851883085107,0.377777777777778
"INM-CM5-0","Mid","ssp245","VPD_below",17.0577913282144,0,0.0223196043087082,0
"INM-CM5-0","Mid","ssp245","VPD_above",37.850748441083,22,0.0495038810566051,0.0287581699346405
"INM-CM5-0","Mid","ssp245","VPD_outside",54.9085397692974,25,0.0718234853653133,0.0326797385620915
"INM-CM5-0","Mid","ssp245","SM_below",179.123208830643,184,0.234248478749833,0.240522875816993
"INM-CM5-0","Mid","ssp245","SM_above",102.07302360927,96,0.133485120332058,0.125490196078431
