"Site_ID","Meshgrid","Complete_observations","Available_slices","Retained_slices","Threshold_points","Slope","Theta","R2","Intercept","Status"
"US-A32","3x3",27,0,0,0,NA,NA,NA,NA,"Insufficient cells per slice"
"US-A32","5x5",27,0,0,0,NA,NA,NA,NA,"Insufficient cells per slice"
"US-A32","7x7",27,8,4,3,0.503606857256252,26.7301386991853,0.999991069559596,22.8608466984853,"Threshold estimated"
"US-A32","9x9",27,11,1,1,NA,NA,NA,NA,"Insufficient threshold points"
"US-A32","11x11",27,13,5,5,-0.0185057424836083,-1.06017992815909,0.00588390262871187,45.2724267890038,"Threshold points are inconsistent"
"US-CF3","3x3",74,0,0,0,NA,NA,NA,NA,"Insufficient cells per slice"
"US-CF3","5x5",74,0,0,0,NA,NA,NA,NA,"Insufficient cells per slice"
"US-CF3","7x7",74,10,3,3,1.90963459881818,62.3607300529323,0.966843510575873,-20.7723855442149,"Threshold estimated"
"US-CF3","9x9",74,13,1,1,NA,NA,NA,NA,"Insufficient threshold points"
"US-CF3","11x11",74,17,2,1,NA,NA,NA,NA,"Insufficient threshold points"
