"Feature","Variable","SHAP_relative_importance","Permutation_relative_importance","SHAP_rank","Permutation_rank","Group"
"p_gs_mean","P",0.158509385695711,0.0651197428946174,1,10,"Long-term climate"
"vpd_gs_mean","VPD",0.149185848318578,0.0679376594612285,2,8,"Long-term climate"
"T_gs_mean","Tair",0.120893367134233,0.108565080101361,3,1,"Long-term climate"
"DEM","Elevation",0.101326735024262,0.0609382613663036,4,13,"Topography"
"LC","LC",0.0944020269017532,0.064009458684775,5,11,"Ecological condition"
"RD","Root depth",0.0793754243028327,0.074288543170435,6,6,"Ecological condition"
"CH","Canopy height",0.0573331440775605,0.0744740703668801,7,5,"Ecological condition"
"Ks","Ks",0.0525985405320678,0.0837186572111586,8,4,"Soil property"
"SM_gs_mean","SM",0.0433192326174151,0.0632717103715593,9,12,"Long-term climate"
"DEM_sd","Topographic diversity",0.0426246955789931,0.0670188077811091,10,9,"Topography"
"n_parameter","n",0.0371543962800245,0.0936623835247679,11,3,"Soil property"
"T_Sand","Sand fraction",0.0338360430388222,0.105940693274994,12,2,"Soil property"
"LC_shannon","LC diversity",0.0294411604977475,0.0710549317908111,13,7,"Ecological condition"
